2025-06-10 00:48:50,Weapon,Anomaly detected via video stream
2025-06-10 00:49:11,Weapon,Anomaly detected via video stream
2025-06-10 00:51:09,Weapon,Anomaly detected via video stream
2025-06-10 00:51:12,Weapon,Anomaly detected via video stream
2025-06-10 00:54:58,Fire,Anomaly detected via video stream
2025-06-10 00:55:04,Weapon,Anomaly detected via video stream
2025-06-10 00:55:09,Fire,Anomaly detected via video stream
2025-06-10 00:55:09,Weapon,Anomaly detected via video stream
2025-06-10 00:55:18,Fire,Anomaly detected via video stream
2025-06-10 00:55:18,Weapon,Anomaly detected via video stream
2025-06-10 00:55:57,Fire,Anomaly detected via video stream
2025-06-10 00:55:59,Fire,Anomaly detected via video stream
2025-06-10 00:56:02,Weapon,Anomaly detected via video stream
2025-06-10 00:57:33,Fire,Anomaly detected via video stream
2025-06-10 00:57:43,Fire,Anomaly detected via video stream
2025-06-10 00:57:53,Fire,Anomaly detected via video stream
2025-06-10 00:58:13,Weapon,Anomaly detected via video stream
2025-06-10 00:58:31,Fire,Anomaly detected via video stream
2025-06-10 00:58:33,Fire,Anomaly detected via video stream
2025-06-10 00:58:35,Weapon,Anomaly detected via video stream
2025-06-10 00:58:39,Fire,Anomaly detected via video stream
2025-06-10 01:02:08,Fire,Anomaly detected via video stream
2025-06-10 01:02:09,Fire,Anomaly detected via video stream
2025-06-10 01:02:13,Fire,Anomaly detected via video stream
2025-06-10 01:10:30,Fire,Anomaly detected via video stream
2025-06-10 01:10:31,Fire,Anomaly detected via video stream
2025-06-10 01:10:33,Fire,Anomaly detected via video stream
2025-06-10 01:10:37,Fire,Anomaly detected via video stream
2025-06-10 01:10:38,Fire,Anomaly detected via video stream
2025-06-10 01:10:38,Fire,Anomaly detected via video stream
2025-06-10 01:10:39,Fire,Anomaly detected via video stream
2025-06-10 01:10:40,Fire,Anomaly detected via video stream
2025-06-10 01:10:41,Fire,Anomaly detected via video stream
2025-06-10 01:10:43,Fire,Anomaly detected via video stream
2025-06-10 01:10:47,Fire,Anomaly detected via video stream
2025-06-10 01:10:48,Fire,Anomaly detected via video stream
2025-06-10 01:10:49,Fire,Anomaly detected via video stream
2025-06-10 01:10:50,Fire,Anomaly detected via video stream
2025-06-10 01:10:51,Fire,Anomaly detected via video stream
2025-06-10 01:10:53,Fire,Anomaly detected via video stream
2025-06-10 01:41:30,Weapon,Source: Webcam 0
2025-06-10 01:41:39,Weapon,Source: Webcam 0
2025-06-10 01:41:59,Weapon,Source: Webcam 0
2025-06-10 01:42:03,Weapon,Source: Webcam 0
2025-06-10 01:42:37,Fire,Source: WhatsApp Video 2025-06-10 at 00.51.47_9284100c.mp4
2025-06-10 01:42:38,Fire,Source: WhatsApp Video 2025-06-10 at 00.51.47_9284100c.mp4
2025-06-10 01:42:43,Fire,Source: WhatsApp Video 2025-06-10 at 00.51.47_9284100c.mp4
2025-06-10 01:42:45,Weapon,Source: WhatsApp Video 2025-06-10 at 00.51.47_9284100c.mp4
2025-06-10 01:42:56,Fire,Source: WhatsApp Video 2025-06-10 at 00.51.47_9284100c.mp4
2025-06-10 01:42:57,Fire,Source: WhatsApp Video 2025-06-10 at 00.51.47_9284100c.mp4
2025-06-10 01:42:57,Fire,Source: WhatsApp Video 2025-06-10 at 00.51.47_9284100c.mp4
2025-06-10 01:42:58,Fire,Source: WhatsApp Video 2025-06-10 at 00.51.47_9284100c.mp4
2025-06-10 01:43:01,Fire,Source: WhatsApp Video 2025-06-10 at 00.51.47_9284100c.mp4
2025-06-10 01:43:02,Fire,Source: WhatsApp Video 2025-06-10 at 00.51.47_9284100c.mp4
